Dataset,#TrainingRelease,%training (data on training / total data),%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,NaiveBayes,OVER,false,SENS,15.0,15.0,306.0,20.0,0.5,0.42857142857142855,0.8732977303070761,0.40779467680608394
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,IBk,OVER,false,SENS,6.0,25.0,296.0,29.0,0.1935483870967742,0.17142857142857143,0.5216288384512684,0.09856513176404338
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,Random Forest,OVER,false,SENS,10.0,45.0,276.0,25.0,0.18181818181818182,0.2857142857142857,0.4283044058744993,0.11599858105711225
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,NaiveBayes,OVER,false,SENS,13.0,15.0,318.0,15.0,0.4642857142857143,0.4642857142857143,0.8529064779064779,0.41924066924066955
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,IBk,OVER,false,SENS,9.0,38.0,295.0,19.0,0.19148936170212766,0.32142857142857145,0.7177713427713428,0.1581638915026795
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,Random Forest,OVER,false,SENS,27.0,289.0,44.0,1.0,0.08544303797468354,0.9642857142857143,0.7976190476190477,0.016884531590413965
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,NaiveBayes,OVER,false,SENS,10.0,24.0,339.0,6.0,0.29411764705882354,0.625,0.8231749311294766,0.3634531407457169
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,IBk,OVER,false,SENS,5.0,33.0,330.0,11.0,0.13157894736842105,0.3125,0.7610192837465565,0.13371428571428623
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,Random Forest,OVER,false,SENS,14.0,312.0,51.0,2.0,0.04294478527607362,0.875,0.7301136363636364,0.001510244491802743
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,NaiveBayes,UNDER,false,NONE,39.0,43.0,5.0,4.0,0.47560975609756095,0.9069767441860465,0.6070736434108527,0.010640758732361824
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,IBk,UNDER,false,NONE,19.0,15.0,33.0,24.0,0.5588235294117647,0.4418604651162791,0.5683139534883721,0.13078618662747968
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,Random Forest,UNDER,false,NONE,11.0,8.0,40.0,32.0,0.5789473684210527,0.2558139534883721,0.6048934108527132,0.09181636726546914
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,NaiveBayes,UNDER,false,NONE,9.0,23.0,317.0,7.0,0.28125,0.5625,0.6784926470588235,0.3351593625498007
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,IBk,UNDER,false,NONE,11.0,63.0,277.0,5.0,0.14864864864864866,0.6875,0.7725183823529411,0.18414667026152606
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,Random Forest,UNDER,false,NONE,11.0,54.0,286.0,5.0,0.16923076923076924,0.6875,0.7889705882352941,0.21497981761100285
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,NaiveBayes,UNDER,false,NONE,0.0,0.0,321.0,35.0,NaN,0.0,0.8825100133511349,0.0
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,IBk,UNDER,false,NONE,2.0,4.0,317.0,33.0,0.3333333333333333,0.05714285714285714,0.5337783711615487,0.07082392776523702
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,Random Forest,UNDER,false,NONE,3.0,2.0,319.0,32.0,0.6,0.08571428571428572,0.26858032932799286,0.12858171346292324
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,NaiveBayes,UNDER,false,NONE,4.0,1.0,332.0,24.0,0.8,0.14285714285714285,0.847972972972973,0.2241898048654688
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,IBk,UNDER,false,NONE,6.0,14.0,319.0,22.0,0.3,0.21428571428571427,0.555984555984556,0.19817374136228963
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,Random Forest,UNDER,false,NONE,11.0,8.0,325.0,17.0,0.5789473684210527,0.39285714285714285,0.9054590304590304,0.43249701314217437
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,NaiveBayes,UNDER,false,NONE,5.0,17.0,346.0,11.0,0.22727272727272727,0.3125,0.7816804407713499,0.22528836326470994
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,IBk,UNDER,false,NONE,3.0,28.0,335.0,13.0,0.0967741935483871,0.1875,0.512482782369146,0.07621425598953739
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,Random Forest,UNDER,false,NONE,6.0,16.0,347.0,10.0,0.2727272727272727,0.375,0.7665289256198347,0.28062490874580287
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,NaiveBayes,UNDER,false,THRESH,42.0,48.0,0.0,1.0,0.4666666666666667,0.9767441860465116,0.4883720930232558,-0.02200320880128345
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,IBk,UNDER,false,THRESH,29.0,25.0,23.0,14.0,0.5370370370370371,0.6744186046511628,0.5767926356589147,0.1515658618216591
bookkeeper-files/BOOKKEEPER,1,0.03920348475420037,0.03360298693217175,0.026757934038581208,Random Forest,UNDER,false,THRESH,43.0,48.0,0.0,0.0,0.4725274725274725,1.0,0.5,0.0
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,NaiveBayes,UNDER,false,THRESH,10.0,37.0,303.0,6.0,0.2127659574468085,0.625,0.7580882352941176,0.2683999235327851
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,IBk,UNDER,false,THRESH,11.0,63.0,277.0,5.0,0.14864864864864866,0.6875,0.7511029411764706,0.18414667026152606
bookkeeper-files/BOOKKEEPER,2,0.09583074051026758,0.060360920970752956,0.009956440572495333,Random Forest,UNDER,false,THRESH,14.0,332.0,8.0,2.0,0.04046242774566474,0.875,0.44926470588235295,-0.009371816638370114
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,NaiveBayes,UNDER,false,THRESH,3.0,2.0,319.0,32.0,0.6,0.08571428571428572,0.539741878059635,0.12858171346292324
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,IBk,UNDER,false,THRESH,2.0,4.0,317.0,33.0,0.3333333333333333,0.05714285714285714,0.522340898976413,0.07082392776523702
bookkeeper-files/BOOKKEEPER,3,0.31736154324828875,0.07031736154324829,0.021779713752333542,Random Forest,UNDER,false,THRESH,8.0,254.0,67.0,27.0,0.030534351145038167,0.22857142857142856,0.21864708500222518,-0.14468143537165878
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,NaiveBayes,UNDER,false,THRESH,8.0,8.0,325.0,20.0,0.5,0.2857142857142857,0.6308451308451308,0.32559380838003693
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,IBk,UNDER,false,THRESH,6.0,14.0,319.0,22.0,0.3,0.21428571428571427,0.5861218361218361,0.19817374136228963
bookkeeper-files/BOOKKEEPER,4,0.5388923459863099,0.09209707529558182,0.017423771001866834,Random Forest,UNDER,false,THRESH,28.0,282.0,51.0,0.0,0.09032258064516129,1.0,0.5765765765765766,0.027288883792925524
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,NaiveBayes,UNDER,false,THRESH,9.0,20.0,343.0,7.0,0.3103448275862069,0.5625,0.7537017906336089,0.3654740497302662
bookkeeper-files/BOOKKEEPER,5,0.7635345364032359,0.10952084629744867,0.009956440572495333,IBk,UNDER,false,THRESH,3.0,28.0,335.0,13.0,0.0967741935483871,0.1875,0.5551825068870524,0.07621425598953739
