Project name,Release,Date,Class name,Size,NR,NAuth,Age,MAX_LOC_ADDED,LOC_ADDED,AVG_LOC_ADDDED,Churn,AVG_CHURN,buggyness
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-server/src/main/java/org/apache/zookeeper/KeeperException.java,336,11,2,51,334,2060,187,336,30,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/Index.java,39,8,2,51,39,235,29,39,4,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JFloat.java,40,8,2,51,40,241,30,40,5,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JBoolean.java,43,9,3,51,43,260,28,43,4,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JLong.java,39,8,2,51,39,235,29,39,4,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/CGenerator.java,88,10,3,51,84,514,51,88,8,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JDouble.java,41,8,2,51,41,247,30,41,5,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JRecord.java,508,11,4,51,508,3059,278,508,46,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JFile.java,75,9,2,51,73,445,49,75,8,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JByte.java,35,8,2,51,35,211,26,35,4,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JMap.java,101,8,2,51,101,608,76,101,12,yes
ZOOKEEPER,3.0.0,2008-10-27,zookeeper-jute/src/main/java/org/apache/jute/compiler/JType.java,142,8,2,51,142,853,106,142,17,yes
