Dataset,#TrainingRelease,%training (data on training / total data),%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
zookeeper-files/ZOOKEEPER,14,0.55904776723199,0.1426793216119496,0.0018671230745293294,Random Forest,OVER,false,SENS,11.0,124.0,249.0,1.0,0.08148148148148149,0.9166666666666666,0.8933199285075961,0.09802267828694597
zookeeper-files/ZOOKEEPER,15,0.6189512992064727,0.14454644468647893,0.0026450910222498834,NaiveBayes,OVER,false,SENS,1.0,7.0,362.0,16.0,0.125,0.058823529411764705,0.5948509485094851,0.05331627212625289
zookeeper-files/ZOOKEEPER,15,0.6189512992064727,0.14454644468647893,0.0026450910222498834,IBk,OVER,false,SENS,7.0,51.0,318.0,10.0,0.1206896551724138,0.4117647058823529,0.6709708273553324,0.12721476758840508
zookeeper-files/ZOOKEEPER,15,0.6189512992064727,0.14454644468647893,0.0026450910222498834,Random Forest,OVER,false,SENS,10.0,90.0,279.0,7.0,0.1,0.5882352941176471,0.7368085445560338,0.10344332167999605
zookeeper-files/ZOOKEEPER,16,0.6790104247704994,0.1471915357087288,0.011513925626264198,NaiveBayes,OVER,false,SENS,10.0,3.0,313.0,64.0,0.7692307692307693,0.13513513513513514,0.5345749230242901,0.18359057676685633
zookeeper-files/ZOOKEEPER,16,0.6790104247704994,0.1471915357087288,0.011513925626264198,IBk,OVER,false,SENS,15.0,48.0,268.0,59.0,0.23809523809523808,0.20270270270270271,0.532265651727677,0.05387022173853877
zookeeper-files/ZOOKEEPER,16,0.6790104247704994,0.1471915357087288,0.011513925626264198,Random Forest,OVER,false,SENS,30.0,73.0,243.0,44.0,0.2912621359223301,0.40540540540540543,0.6158484433800889,0.15163797270665214
zookeeper-files/ZOOKEEPER,17,0.7396919246927026,0.158705461334993,0.0034230589699704374,NaiveBayes,OVER,false,SENS,2.0,24.0,366.0,20.0,0.07692307692307693,0.09090909090909091,0.6219114219114219,0.0270502361528562
zookeeper-files/ZOOKEEPER,17,0.7396919246927026,0.158705461334993,0.0034230589699704374,IBk,OVER,false,SENS,13.0,90.0,300.0,9.0,0.1262135922330097,0.5909090909090909,0.6844405594405595,0.131578947368421
zookeeper-files/ZOOKEEPER,17,0.7396919246927026,0.158705461334993,0.0034230589699704374,Random Forest,OVER,false,SENS,16.0,170.0,220.0,6.0,0.08602150537634409,0.7272727272727273,0.6770979020979021,0.06450614098462171
zookeeper-files/ZOOKEEPER,18,0.8037964835848763,0.16212852030496344,0.0,NaiveBayes,OVER,false,SENS,0.0,18.0,399.0,0.0,0.0,NaN,NaN,0.0
zookeeper-files/ZOOKEEPER,18,0.8037964835848763,0.16212852030496344,0.0,IBk,OVER,false,SENS,0.0,69.0,348.0,0.0,0.0,NaN,NaN,0.0
zookeeper-files/ZOOKEEPER,18,0.8037964835848763,0.16212852030496344,0.0,Random Forest,OVER,false,SENS,0.0,132.0,285.0,0.0,0.0,NaN,NaN,0.0
zookeeper-files/ZOOKEEPER,19,0.8686790104247705,0.16212852030496344,6.223743581764431E-4,NaiveBayes,OVER,false,SENS,1.0,12.0,406.0,3.0,0.07692307692307693,0.25,0.9198564593301436,0.10466760961810634
zookeeper-files/ZOOKEEPER,19,0.8686790104247705,0.16212852030496344,6.223743581764431E-4,IBk,OVER,false,SENS,0.0,76.0,342.0,4.0,0.0,0.0,0.33911483253588515,-0.018339768339768126
zookeeper-files/ZOOKEEPER,19,0.8686790104247705,0.16212852030496344,6.223743581764431E-4,Random Forest,OVER,false,SENS,2.0,115.0,303.0,2.0,0.017094017094017096,0.5,0.6429425837320574,0.015002194469935658
zookeeper-files/ZOOKEEPER,20,0.9343395052123853,0.16275089466313988,6.223743581764431E-4,NaiveBayes,OVER,false,SENS,0.0,5.0,412.0,4.0,0.0,0.0,0.9394484412470024,-0.010669511869829503
zookeeper-files/ZOOKEEPER,20,0.9343395052123853,0.16275089466313988,6.223743581764431E-4,IBk,OVER,false,SENS,2.0,54.0,363.0,2.0,0.03571428571428571,0.5,0.7778776978417267,0.049814605835885636
zookeeper-files/ZOOKEEPER,20,0.9343395052123853,0.16275089466313988,6.223743581764431E-4,Random Forest,OVER,false,SENS,3.0,75.0,342.0,1.0,0.038461538461538464,0.75,0.8600119904076738,0.05610950498554447
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,NaiveBayes,UNDER,false,NONE,107.0,41.0,1.0,3.0,0.722972972972973,0.9727272727272728,0.6607142857142857,-0.004807692307692261
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,IBk,UNDER,false,NONE,93.0,27.0,15.0,17.0,0.775,0.8454545454545455,0.6012987012987013,0.2186915887850466
zookeeper-files/ZOOKEEPER,1,0.023183444842072506,0.021316321767543178,0.017115294849852185,Random Forest,UNDER,false,NONE,109.0,41.0,1.0,1.0,0.7266666666666667,0.990909090909091,0.7522727272727273,0.020858895705521567
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,NaiveBayes,UNDER,false,NONE,38.0,0.0,0.0,138.0,1.0,0.2159090909090909,NaN,0.0
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,IBk,UNDER,false,NONE,156.0,0.0,0.0,20.0,1.0,0.8863636363636364,NaN,0.0
zookeeper-files/ZOOKEEPER,2,0.046833670452777344,0.038431616617395366,0.0273844717597635,Random Forest,UNDER,false,NONE,165.0,0.0,0.0,11.0,1.0,0.9375,NaN,0.0
